NAME,PRICE,RATING,NO OF REVIEWS,URL
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,249,3.7 out of 5 stars,"5,415",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-30
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,099",4.4 out of 5 stars,"5,000",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-31
Red Lemon Polyester Bange Series 15.6inch Laptop Bag for Men 35 LTR Capacity Daily Office Bag for Men and Women Black (1903),"2,999",4.2 out of 5 stars,134,https://www.amazon.in/Red-Lemon-Polyester-15-6-inch-Waterproof/dp/B07XYY2FW4/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-32
"Golden Wolf Laptop Bag,Business Anti Theft Backpack with Lock,Water Resistant College School Laptop Backpack with Rain Cover and USB Charging Port Earphone Port,Backpack Gifts for 15.6 inch Laptop 25 L Travel Bag For Women & Men, Dark Grey","1,999",4.4 out of 5 stars,"2,900",https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-33
Gear ModernEco5 21L Water Resistant School Bag//Backpack/College Bag for Men/Women - Black Grey,429,3.8 out of 5 stars,"1,877",https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-34
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","1,049",4.3 out of 5 stars,"1,210",https://www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-35
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","1,899",4.3 out of 5 stars,329,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-36
Half Moon 34 L Casual Waterproof 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Navy Blue),699,3.8 out of 5 stars,156,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfYnRmOjIwMDM1MTgyOTUwMDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHalf-Moon-Waterproof-Laptop-Backpack%2Fdp%2FB08XVRVTV5%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26psc%3D1
Half Moon 35 L Casual Waterproof 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Black),699,3.9 out of 5 stars,178,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfYnRmOjIwMDM1MTgyOTQ5NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHalf-Moon-Waterproof-Laptop-Backpack%2Fdp%2FB08RB3ZSLH%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26psc%3D1
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"1,358",4.2 out of 5 stars,"1,268",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTI0MTIyNTExMjE1NzQ1OjE2NjcxMTM3OTQ6c3BfYXRmX25leHQ6MjAwNDE2OTU2NzY0MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D2ZFX%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113794%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26psc%3D1
ICEMART 25 L Waterproof Laptop Bag/Backpack for Men;Women;Boys;Girls/Office School College,499,3.6 out of 5 stars,54,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTI0MTIyNTExMjE1NzQ1OjE2NjcxMTM3OTQ6c3BfYXRmX25leHQ6MjAwNzgzOTc3Njg2OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FICEMART-Waterproof-Laptop-Backpack-College%2Fdp%2FB09LVQ3PYW%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113794%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26psc%3D1
